id,timestamp,announcement,build_decision,current_evidence,assignment_or_gap_reason,limitation
A11,11:38,"More accurate system-wide dictation, punctuation, spelling and capitalization",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,"Public APIs, permissions, integrations and device capability must be checked"
A12,11:48,Safari Notify Me: monitor a webpage and notify on changes,BUILD,Related runtime/source exists; specific parity incomplete and untested live,"Host scheduler, meaningful-change diff, source snapshot, push notification. Authenticated sites require authorized sessions. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.","Model quality, cost, latency and tested implementation"
A13,11:48,"Describe a Shortcuts automation, including school email → calendar and reminders",BUILD,Related runtime/source exists; specific parity incomplete and untested live,"Natural-language workflow → validated trigger/action specification, preview, enable/pause, host execution. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.",Outcome feasible; OS placement or provider integration conditional
A14,11:48,"Business-call context, such as surfacing a flight confirmation code",BUILD_PARTIAL,Related agent skills exist; connector/product behavior unverified,User-invoked pre-call context card and supported dialer integrations. No promised injection into stock Phone UI. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,"Public APIs, permissions, integrations and device capability must be checked"
A15,12:17,Reimagined Image Playground: high-quality generation in almost any style,DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,"Model quality, cost, latency and tested implementation"
A16,12:29,Improved Clean Up with complex-scene infill,DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,"Model quality, cost, latency and tested implementation"
A17,12:29,Extend images beyond original bounds,DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,"Model quality, cost, latency and tested implementation"
A18,12:29,Spatial Reframing changes apparent camera perspective after capture,DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,"Public APIs, permissions, integrations and device capability must be checked"
A19,12:29–13:24,"Intelligence in 16 languages; Siri English beta, five additional named languages in October; server usage limits and increased iCloud+ access",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,Outcome feasible; OS placement or provider integration conditional
C01,20:00–22:14,"48 MP Fusion main variable aperture; six blades/rotor/custom lens, automatic adjustment; around 50% more light, faster Night mode, f/1.8, deeper focus",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Software cannot collect missing photons or recreate actual optical aperture
C02,22:14,"Apply cinematic effects after ordinary video capture, including 60fps/half-speed effect",DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,"Public APIs, permissions, integrations and device capability must be checked"
C03,22:14,4K Dolby Vision HDR timelapse,GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Source resolution/dynamic range and codec support bound result
C04,22:14,Audio Mix improves voices and adds music support,DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,Outcome feasible; OS placement or provider integration conditional
C05,22:14–23:26,"Pro Controls: configurable settings, white balance, histogram, four aperture settings, shutter speed for photos/video, motion blur/freeze/starburst",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot add variable aperture or its true diffraction pattern to fixed optics
C06,23:26,AI focus tracking maintains subjects through depth changes and exit/reentry,GAP_ONLY,See capability audit; no live parity verified,"Real-time camera control/capture requires device-specific work; outside this Mac-mini-first build. This is a scope/practicality gap, not proof of physical impossibility.","Public APIs, permissions, integrations and device capability must be checked"
C07,23:26,"Reversible photographic styles, texture, grain, skin texture, combined color/texture adjustments",BUILD,No dedicated implementation verified in static audit,Non-destructive edit graph and reusable presets. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,"Model quality, cost, latency and tested implementation"
C08,23:26,AI image-identification standard transcribed as “scenes ID”,GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.","Public APIs, permissions, integrations and device capability must be checked"
C09,25:33,"Apple Reference Image: sensor-level pixel signing, PCC-developed unalterable reference beside editable photo",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.","Post-import signatures prove custody after import, not capture truth; no Apple attestation equivalence"
H01,07:41–07:54,"iPhone 18 Pro / Pro Max; color-matched aluminum/back glass; black, silver, glacier, burgundy",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Material, size and color cannot be delivered by software"
H02,14:05–15:42,"A20 Pro: 2 nm; 6-core CPU (2 super, 4 efficiency), up to 20% faster super cores; 7-core GPU up to 40% faster; neural accelerators, 2x FP8; dual Neural Engines/32 cores/2x compute; 50% more memory bandwidth",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Local chip throughput, offline latency and power claims cannot be recreated remotely"
H03,16:03–17:50,"Side-by-side chip/memory package; direct vapor-chamber contact; 3x chamber area, recycled steel, graphite, nano-twin copper; up to 40% sustained gain vs 17 Pro, 2x vs 16 Pro/older",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Does not improve phone thermal envelope or graphics throughput
H04,17:56–18:59,Pro batteries: 36/45 h video on eSIM models; 24/30 h mixed use; 50% wired charge about 15 min; 5 min gives about 6 h video,GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Offloading also consumes network power; cannot promise battery parity
H05,19:40–20:00,"Monster Hunter Outlanders: co-op open world, iOS cinematic graphics up to 120fps, MetalFX upscaling, spatial audio; later this year",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Third-party game, licensing and rendering performance are not assistant features"
B01,27:54–29:07,"Clear, TechWoven, silicone cases; matching cross-body and new wrist straps for phone/AirPods Pro",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Not software
B02,29:07,"Pro $1,199; Max $1,299; new 2 TB option; US Apple Upgrade 12/24-month lease; up to $1,200 trade-in iPhone 14+; AppleCare One Family; Sept 12 preorder/Sept 18 availability",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,"Currency/terms are transcript context, not verified universal offers"
O01,26:49,"Smaller Dynamic Island with three Live Activities (Flighty, Maps, timer)",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot replace island layout or manufacture cutout; API limits apply
O02,26:49,"iOS 27 child safety: what children see, contacts and access times",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot enforce OS-wide restrictions without approved capabilities
O03,26:49,"Customizable Liquid Glass, improved Mail search",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot change system appearance or Mail private index
O04,26:49,Up to 80% faster AirDrop transfers,GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot claim AirDrop speedup or change Apple's implementation
O05,27:54,Smarter cellular/Wi-Fi transitions,GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot control baseband or system-wide handover
O06,27:54,"iPhone Handoff: one phone number across two iPhones, active on picked-up device",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Not cellular-number portability; carrier support required
E01,30:08–32:13,"AirPods 5 open fit; multi-port acoustics, Adaptive EQ, personalized spatial audio; 50% more ANC, improved transparency, automatic Adaptive Audio switching",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Cloud denoising is not ear-level ANC; cannot promise equivalent acoustics
E02,33:25–34:29,"More rain/sweat/dust durability; base 4 h ANC/20 h with case; upper model stem volume swipe, 5 h ANC, Watch/Qi wireless case",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Cannot add sensors, wireless charging or durability in software"
E03,32:41,"Hands-free personal-context query, restaurant recall and walking directions",BUILD_PARTIAL,No dedicated implementation verified in static audit,Foreground/authorized voice session with ordinary headset and mapping handoff; no guaranteed arbitrary wake word in background. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,Outcome feasible; OS placement or provider integration conditional
E04,33:04,"Live Translation, reiterated from previous fall",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,Outcome feasible; OS placement or provider integration conditional
E05,33:25–35:30,"AirPods 5 $129/$149; preorder event day, Sept 18 availability; ANC standard lineup",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,Not equivalent audio hardware or retail offer
W00,36:07–37:07,"Reiterated sleep monitoring, high-heart-rate alerts, workout tracking, heart rhythm/ECG and workout metrics",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Missing sensors cannot be replaced by an LLM; alert delivery and sampling differ
W01,37:07–38:11,"New health array: larger ECG electrodes, ring photodiodes, larger efficient green LEDs; HR every 5 s, HRV as often as 5 min; asserted comparative accuracy study",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.","Cannot manufacture dense readings, certify comparative accuracy, or infer ECG from text"
W02,39:26,High-frequency heart-rate views/complications; HRV in overnight and new daytime Vitals view,GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Outcome feasible; OS placement or provider integration conditional
W03,40:00,Readiness from activity/vitals/sleep; four readiness states; morning and daytime updates; Watch/Fitness display,GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Validated algorithm plus available permissioned data
W04,40:44,"Redesigned Health, Insights summaries, deeper readiness/fitness/heart views, dynamically personalized guidance",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Software summary feasible; health interpretation requires evidence
W05,41:26,"Health Age combining wearable metrics and blood biomarkers, habit contributions/improvement guidance",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Validated methods and intended-use evidence required
W06,41:26–42:06,"Longevity tab across sleep/movement/heart etc., category shading and clinical-reference classifications",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Validated algorithm plus available permissioned data
W07,42:06,"Manual labs, medical-record sync, US Quest >50-biomarker panel for $119, lab/wearable combined analysis, expert videos",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Data/API availability and clinical or partner validation
W08,42:39–43:21,"Camera/Watch movement and mobility tests, injury-progress tracking; demonstrated VO2-max step test, trainer demo, beat, form cues, results/retesting",GAP_ONLY,See capability audit; no live parity verified,"Health sensors, dedicated health integration or clinical/partner work: gap-only by user instruction; no research or validation project.",Data/API availability and clinical or partner validation
W09,43:21,"New Health app later this year, US English first",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,"Public APIs, permissions, integrations and device capability must be checked"
W10,44:32,"Sound recognition for sirens, alarms, doorbells, crying; Watch alerts without phone",DEFERRED_COST_CAPABILITY,No dedicated implementation verified in static audit,No dedicated implementation verified in the existing Claude Max path. Do not add paid inference/media APIs or substantial local models. Record gap; owner may reopen later.,Outcome possible; privileged or hardware-secured original mechanism not equivalent
W11,44:56–45:19,"Live Rewind: last 15s → transcript via crown double-press, Q&A and save to Siri app",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,Outcome possible; privileged or hardware-secured original mechanism not equivalent
W12,45:19–45:56,"Siri Recap ambient conversation notes: title, summary, key points; on/off, always/scheduled/work/not-night modes, Control Center",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,"Public APIs, permissions, integrations and device capability must be checked"
W13,45:56,"No stored audio recordings, inaccessible raw processing audio, no speaker attribution; end-to-end encrypted transcript/recap iCloud sync",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,Outcome possible; privileged or hardware-secured original mechanism not equivalent
W14,46:41,"Siri modular face, Smart Stack top widget, past chats, invoke Siri, recaps, Shazam song recognition",GAP_ONLY,See capability audit; no live parity verified,Watch-specific surfaces/song-recognition integration are outside the practical host build; no wearable workaround project.,"Public APIs, permissions, integrations and device capability must be checked"
W15,46:41,"Rewind/Recap require Siri AI; beta later this year, English first",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,"Public APIs, permissions, integrations and device capability must be checked"
W16,47:16,"S11 CPU/GPU/Neural Engine derived from A20 Pro; efficient always-on processor, Secure Exclave raw-audio buffer",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Ordinary app RAM/remote ASR cannot claim hardware-inaccessible raw audio
W17,47:16–49:38,Series 12 finishes: recycled aluminum space gray/black/light gold/dark bronze; Ceramic Shield 2 60% tougher; gold/natural recycled titanium; pearl white/night blue ceramic; Nike/Hermès/new bands; 24 h battery,GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Materials, glass, battery and bands are physical"
W18,48:46–50:12,"Ultra 4 larger battery, over two days; 18 h GPS+HR workouts or 45 h max extended; black/natural titanium, band colors/titanium Hermès",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Sampling/endurance tradeoffs cannot be fixed by host inference
W19,50:12,Series 12 $399/Ultra 4 $799; event-day preorders; Sept 18 availability,CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,Not evidence of universal feature availability on prior Watches
D01,54:03–56:16,"Duo passport-like asymmetric foldable; matching display aspect ratios, narrow borders; variable-torque hinge/magnets; thin titanium frame and camera plateau",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",A Mac mini or ordinary phone cannot become a folding handset
D02,55:39–01:00:56,"Under-display FaceTime camera; Grade 5 titanium ribs, ceramic-fiber reinforced antenna breaks; Ceramic Shield back/2 front, IP68; Star White/Night Sky",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Cannot add hidden camera, stiffness or weather rating"
D03,57:08–58:25,"Side controls, vertical dock, compact status, outer/inner continuity, two home pages, inbox/detail layout and fold/turn/flip adaptation",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot replace iOS home screen/dock; ordinary phones need no fold logic
D04,59:18,7.6-inch Super Retina XDR inner display (+50% Max/+80% Pro area); 5.4-inch outer/90% Pro area,GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Rendering cannot increase physical screen size
D05,59:18–01:00:00,"Apple Pencil USB-C on either display for notes/sketches/markup, later this year",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot create Pencil compatibility on unsupported panels
D06,01:00:00,"Side-button Touch ID, multiple enrolled fingers, Apple Watch unlock",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot implement or replace system phone unlock
D07,01:00:00; 01:02:44,"Top/bottom speakers, portrait/landscape spatial sound, pose-dependent tuning",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Host cannot change speaker geometry; tuning is device-specific
D08,01:01:46–01:02:44,"Split view two apps/same-app windows, swap sides, saved app pairs, pinned video above app",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Cannot force other iOS apps into system split view
D09,01:02:44–01:03:42,"Self-supporting poses, fold-aware tap layout, StandBy without charging, weather/calendar/music/notification faces, gentle glow alarm",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",No whole-OS StandBy replacement or unrestricted background screen control
D10,01:04:21,Detail content creation with on-device models via “core AI”,CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,"Public APIs, permissions, integrations and device capability must be checked"
D11,01:04:21,"New/updated APIs; Zoom content+participants, Slack workspace, Netflix outer clips/inner experience",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,"Cannot reproduce proprietary services, licensed catalog or their clients"
D12,01:05:31–01:06:44,"Nano-texture anti-glare/crease reduction, laser lithography, stiffer polymer/coating, glass/OLED/adhesive stack, titanium/carbon supports, 100+ hinge parts",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Perceptual/physical durability and crease claims are hardware
D13,01:06:44,"Manufacturing AI hinge/housing matching, confocal scans and up to 25 printed photopolymer microlayers",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","This AI is industrial fabrication, not a consumer assistant outcome"
D14,01:07:54,"A20 Pro dual-display engine, under-camera pixel blending, direct-die thermal design/vapor chamber; up to 35% sustained gain vs 17 Pro",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Cannot reproduce phone display engine/thermal throughput
D15,01:08:36,"C2 modem with AI reliability/reconnection; uploads +50% vs C1X, US mmWave, 15% less energy; worldwide eSIM",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",No software addition of mmWave antennas or modem firmware access
D16,01:08:36–01:09:56,"Dual batteries with balancing silicon; 31 h inner/44 h outer video, 24 h mixed; 50% charge 20 min, 5 min for 5 h outer video",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",No promise of equivalent battery life from offload
D17,01:11:40,Center Stage selfie experience,GAP_ONLY,See capability audit; no live parity verified,"Real-time camera control/capture requires device-specific work; outside this Mac-mini-first build. This is a scope/practicality gap, not proof of physical impossibility.","Public APIs, permissions, integrations and device capability must be checked"
D18,01:10:44–01:11:40,"48 MP main, zero shutter lag, 2x optical-quality telephoto, low-light sensor/aperture/sensor-shift OIS, 4K120; 48 MP ultrawide; 4K Dolby Vision timelapse",GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.","Cannot generate truthful missing detail, frame rate or optical stabilization after capture"
D19,01:12:39,Dual Capture simultaneous front/rear in FaceTime; Duo FaceTime second viewer on outer screen,GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Not universally concurrent-camera capable; cannot modify FaceTime
D20,01:12:39,"Rear-camera selfie preview, Duo Preview subject display, KidQ attention animations",GAP_ONLY,See capability audit; no live parity verified,"Exact camera/OS/provenance/companion-device mechanism is out of scope; retain as measured gap, without building a substitute system.",Physical placement matters; Mac mini alone has no camera/display
D21,01:13:29,Smart Take tracks scene and automatically shoots when group is ready; full-body/wide-angle self portraits,GAP_ONLY,See capability audit; no live parity verified,"Real-time camera control/capture requires device-specific work; outside this Mac-mini-first build. This is a scope/practicality gap, not proof of physical impossibility.","Public APIs, permissions, integrations and device capability must be checked"
D22,01:13:29,Duo Folio kickstand and two-part protective case,GAP_ONLY,See capability audit; no live parity verified,"Physical product, firmware, manufacturing or third-party product capability; no replication work.",Not software
D23,01:14:21,"Duo $1,999, 256 GB–2 TB; trade-in offers; Oct 16 preorders/Oct 23 availability",CONTEXT,See capability audit; no live parity verified,Record announcement/availability only; not a standalone build assignment.,Do not treat as shipping September 11
